No.,Name,Work,Date (AH),Residence,Latitude,Longitude
37,Abū Bishr al-Dūlābī,Al-Asmā’ wa al-Kunā,224-310,"Baghdad, Iraq",33.3152,44.3661
38,Abū Ja‘far Ibn Jarīr al-Tabarī,Tahdhīb al-Āthār wa al-Sunan,224-310,"Baghdad, Iraq",33.3152,44.3661
39,Abū Bakr Ibn Khuzaymah,Sahīh Ibn Khuzaymah,223-311,"Nishapur, Iran",36.2147,58.7961
40,Abū ‘Awānah al-Isfarā’īnī,Mustakhraj Abī ‘Awānah,p. 230-316,"Isfarain, Iran",37.0594,57.5075
41,Abū Ja‘far Ahmad al-Tahāwī,Sharh Ma‘ānī al-Āthār,239-321,Egypt,26.8206,30.8025
42,Muhammad ibn ‘Amr al-‘Uqaylī,A-Du‘afā’ wa al-Matrūkūn,d. 322,"Mecca, Hijaz (now Saudi Arabia)",21.4225,39.8262
43,Abd al-Rahmān ibn Abī Hātim al-Rāzī,Al-Jarh wa al-Ta‘dīl/‘Ilal al-Hadīth,240-327,"Ray, Iran",35.6216,51.4286
44,Abū ‘Alī Ibn al-Sakan,Al-Sahīh al-Muntaqā,294-353,"Alexandria, Egypt",31.2001,29.9187
45,Abū Hātim Ibn Hibbān al-Bustī,Al-Taqāsīm wa al-Anwā‘/al-Thiqāt,270-354,"Bust, Afghanistan",31.9713,64.1746
46,Abu al-Qāsim Sulaymān al-Tabarāni,Al-Mu‘jam al-Kabīr/al-Awsat/al-Saghīr,260-360,"Tiberias, Palestine",32.7959,35.5309
47,Abū Bakr al-Ājurrī,Al-Sharī‘ah fi al-Sunnah,280-360,"Baghdad, Iraq",33.3152,44.3661
48,Hasan ibn ‘Abd al-Rahmān al-Rāmahurmuzī,Al-Muhaddith al-Fāsil,c. 265-360,"Ramhormoz, Iran",31.2744,49.6042
49,Abū Ahmad Ibn ‘Adī,Al-Kāmil fī Ma‘rifat al-Du‘afā’,277-365,"Ray, Iran",35.6216,51.4286
50,Abū al-Shaykh Ibn Hayyān,Kitāb al-‘Ażamah/Kitāb al-Sunnah,274-369,"Isfahan, Iran",32.6546,51.668
51,Abū Bakr al-Ismā‘īlī,Al-Mustakhraj ‘alā Sahīh al-Bukhārī,277-371,"Nishapur, Iran",36.2147,58.7961
52,Abū Ahmad al-Hākim al-Kabīr,Al-‘Ilal/al-Asmā’ wa al-Kunā,285-378,"Nishapur, Iran",36.2147,58.7961
